date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:43%20GMT	http://lemkus.com/cdn/shop/files/June_DP_Sneakers_Featured_Dropdown_Images_556x508_5cf52f56-d322-4739-9fce-8a47bc410870.png?v=1686571970	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_DP_Sneakers_Featured_Dropdown_Images_556x508_5cf52f56-d322-4739-9fce-8a47bc410870f44b.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:44	376449/376449	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Nov%202023%2008:30:16%20GMT	https://lemkus.com/cdn/shop/files/June_DP_Sneakers_Featured_Dropdown_Images_556x508_5cf52f56-d322-4739-9fce-8a47bc410870.png?v=1686571970	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_DP_Sneakers_Featured_Dropdown_Images_556x508_5cf52f56-d322-4739-9fce-8a47bc410870f44b.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:45	109991/109991	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:1b9e2efa8a78b2f718e4c47718a19b5c%22	https://lemkus.com/products/air-more-uptempo-td-3	C:/My%20Web%20Sites/airforce1/lemkus.com/products/air-more-uptempo-td-3	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:44%20GMT	http://lemkus.com/cdn/shop/files/June_Air_More_Sneakers_Featured_Dropdown_Images_556x508_76b2f10f-6053-4a48-a3d1-d222d4f7f2bd.png?v=1686572204	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_Air_More_Sneakers_Featured_Dropdown_Images_556x508_76b2f10f-6053-4a48-a3d1-d222d4f7f2bd7d49.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:45%20GMT	http://lemkus.com/cdn/shop/files/June_Kids_App_More_Sneakers_Featured_Dropdown_Images_556x508_5b04a165-3567-4a90-95d2-dec5814d8487.png?v=1686572316	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_Kids_App_More_Sneakers_Featured_Dropdown_Images_556x508_5b04a165-3567-4a90-95d2-dec5814d848750c2.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:47	109055/109055	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2000:41:14%20GMT	https://lemkus.com/cdn/shop/files/June_Air_More_Sneakers_Featured_Dropdown_Images_556x508_76b2f10f-6053-4a48-a3d1-d222d4f7f2bd.png?v=1686572204	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_Air_More_Sneakers_Featured_Dropdown_Images_556x508_76b2f10f-6053-4a48-a3d1-d222d4f7f2bd7d49.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:46%20GMT	http://lemkus.com/cdn/shop/files/Accessories_01_Featured_Dropdown_Images_556x508_0f06b366-eb7e-48f2-98fd-da576a4113c8.png?v=1681284403	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/Accessories_01_Featured_Dropdown_Images_556x508_0f06b366-eb7e-48f2-98fd-da576a4113c8752e.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:49	229823/229823	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2004:47:42%20GMT	https://lemkus.com/cdn/shop/files/June_Kids_App_More_Sneakers_Featured_Dropdown_Images_556x508_5b04a165-3567-4a90-95d2-dec5814d8487.png?v=1686572316	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_Kids_App_More_Sneakers_Featured_Dropdown_Images_556x508_5b04a165-3567-4a90-95d2-dec5814d848750c2.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:51	89733/89733	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2020:50:06%20GMT	https://lemkus.com/cdn/shop/files/Accessories_01_Featured_Dropdown_Images_556x508_0f06b366-eb7e-48f2-98fd-da576a4113c8.png?v=1681284403	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/Accessories_01_Featured_Dropdown_Images_556x508_0f06b366-eb7e-48f2-98fd-da576a4113c8752e.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:48%20GMT	http://lemkus.com/cdn/shop/files/June_Bags_More_Sneakers_Featured_Dropdown_Images_556x508_d899c2ab-801d-4410-bf7b-a8451382e432.png?v=1686572514	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_Bags_More_Sneakers_Featured_Dropdown_Images_556x508_d899c2ab-801d-4410-bf7b-a8451382e432b903.png	(from https://lemkus.com/products/air-force-1-07-flyease)
